BORN IDENTITY,Born identity,20
BORN IDENTITY,Born legacy,44
BORN IDENTITY,Born supremacy,42
BORN IDENTITY,Born ultimate,48
BORN IDENTITY,Jason born,44
Dessinateur,Dessinateur express,30
Dessinateur,Dessinateur: Chamberlain,30
Dessinateur,Dessinateur: Reine Victoria,32
Dessinateur,Dessinateur: Von Bismark,48
Dessinateur,Dessinateur: Dinosaur,40
Database,Database: Beginning of nightmare,29
Database,Database: War of lab,28
Database,Database: Start with professor Suh,21
Database,Database: Mad night project,30
Database,Database: Toward a data expert,35
Rip's Toast,Rip's Toast: Apple toast,47
Rip's Toast,Rip's Toast: Banana toast,46
Rip's Toast,Rip's Toast: Tomato toast,46
Rip's Toast,Rip's Toast: Prof.suh toast,44
Rip's Toast,Rip's Toast: Please don?셳 eat toast,48
Rescue on the River,Rescue on the River: apple,48
Rescue on the River,Rescue on the River: banana,37
Rescue on the River,Rescue on the River: cicly,43
Rescue on the River,Rescue on the River: pass,48
Rescue on the River,Rescue on the River: lms,27
Buffalo Bill's Show Parade,Buffalo Bill's Show Parade: Run,38
Buffalo Bill's Show Parade,Buffalo Bill's Show Parade: Walk,21
Buffalo Bill's Show Parade,Buffalo Bill's Show Parade: Haunt,22
Buffalo Bill's Show Parade,Buffalo Bill's Show Parade: Shit,48
Buffalo Bill's Show Parade,Buffalo Bill's Show Parade: Jejus,37
Apart,Apart: first,25
Apart,Apart: second,28
Apart,Apart: third,25
Apart,Apart: fourth,27
Apart,Apart: fifth,20
House,House: 1,33
House,House: 2,35
House,House: 3,25
House,House: 4,25
House,House: 5,39
Flower,Flower: 1,21
Flower,Flower: 2,39
Flower,Flower: 3,25
Flower,Flower: 4,42
Flower,Flower: 5,35
Mouse,Mouse: 1,40
Mouse,Mouse: 2,32
Mouse,Mouse: 3,48
Mouse,Mouse: 4,24
Mouse,Mouse: 5,47
Cellphone,Cellphone: 1,34
Cellphone,Cellphone: 2,24
Cellphone,Cellphone: 3,32
Cellphone,Cellphone: 4,48
Cellphone,Cellphone: 5,49
Computer,Computer: 1,41
Computer,Computer: 2,41
Computer,Computer: 3,37
Computer,Computer: 4,30
Computer,Computer: 5,48
Speaker,Speaker: 1,46
Speaker,Speaker: 2,36
Speaker,Speaker: 3,24
Speaker,Speaker: 4,49
Speaker,Speaker: 5,36
Keyboard,Keyboard: 1,43
Keyboard,Keyboard: 2,31
Keyboard,Keyboard: 3,33
Keyboard,Keyboard: 4,29
Keyboard,Keyboard: 5,23
Apple,Apple: Macbook,20
Apple,Apple: Ipad,30
Apple,Apple: Iphone,31
Apple,Apple: Air,36
Apple,Apple: Mac Donalds,22
Toward a developer,toward a developer : backend,45
Toward a developer,toward a developer : frontend,30
Toward a developer,toward a developer : database,28
Toward a developer,toward a developer : cloud,41
Toward a developer,toward a developer : Android,20
Toward a developer,toward a developer : ios,34
University,univ : seoul,42
University,univ : pusan,27
University,univ : kyoungpook,33
University,univ : kaist,45
University,univ : postech,36
USA,USA : LA,27
USA,USA : Silicon valley,23
USA,USA : NewYork,45
USA,USA : Texas,33
USA,USA : Washington,31
Company,Company : Kakao,42
Company,Company : Naver,26
Company,Company : Coopang,37
Company,Company : Samsung,25
Company,Company : LG,30
OS,OS : webOS,49
OS,OS : window,31
OS,OS : macOS,26
OS,OS : android,40
OS,OS : raspbian,40
